Organization.Location.1,Organization.Location.2,Organization.Location.3,Organization.Location.4,Organization.Location.5,Location
Toronto  Canada  ,"Toronto, Canada Area","Ontario, Canada","Bengaluru Area, India","Bengaluru Area, India","Toronto, Canada Area"
Toronto  Canada  ,"Tecumseh, Ontario","Ontario, Canada","Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Ontario, Canada","Toronto, Canada Area",India,"Mumbai Area, India","Scarborough, Ontario, Canada"
Toronto  Canada  ,"Markham,Ontario","Toronto, Canada Area",Canada,"Toronto, Canada Area","Toronto, Canada Area"
Toronto  Canada  ,"Tübingen Area, Germany","Dharwad, India",,,Canada
Toronto  Canada  ,"Chandigarh Area, India",,,,Canada
Toronto  Canada  ,,"Bhavnagar, Gujarat, India","Ahmedabad Area, India",,"Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area",Canada
Toronto  Canada  ,"Toronto, Canada Area",Opera House,Opera House,,Canada
Toronto  Canada  ,,,,Toronto,"Toronto, Canada Area"
Toronto  Canada  ,"Pune Area, India","Pune Area, India","Gaydon, United Kingdom","Pune Area, India","Toronto, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Hyderabad Area, India","Mumbai Area, India","Hyderabad Area, India","Toronto, Canada Area"
Toronto  Canada  ,"Chennai Area, India","Kolkata Area, India","Hyderabad Area, India",,"Toronto, Ontario, Canada"
Toronto  Canada  ,"Chennai Area, India",,,,"Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Hyderabad Area, India","Hyderabad Area, India",,"Mississauga, Ontario, Canada"
Toronto  Canada  ,"Dubai, U.A.E.","Mumbai, India","Mumbai, India",,"Richmond Hill, Ontario, Canada"
Toronto  Canada  ,"Oshawa, Ontario","Gurgaon, India","New Delhi Area, India",,"North York, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area","London, Canada Area","Toronto, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","CN Tower, Toronto","Toronto, Canada Area","Toronto, Canada Area","Toronto, Ontario, Canada"
Toronto  Canada  ,"Surrey, BC","Toronto, Canada Area","Ahmedabad Area, India","Ahmedabad Area, India","Toronto, Canada Area"
Toronto  Canada  ,"Moncton, New Brunswick, Canada","Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Vadodara Area, India","Mumbai Area, India","Surat Area, India","Mississauga, Ontario, Canada"
Toronto  Canada  ,"Montreal, Canada Area",,,,"Scarborough, Ontario, Canada"
Toronto  Canada  ,,Vaughan,"Markham, Canada",,"Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Brampton, ON (Canada)","Mississuaga, ON (Canada)",,"Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Dubai,UAE",India,,"Toronto, Canada Area"
Toronto  Canada  ,Scarborough,Toronto,Progress Avenue Scarborough,"4770, Shepard Ave. East, Toronto, ON","Scarborough, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area",,,"North York, Ontario, Canada"
Toronto  Canada  ,"Riyad, Saudi Arabia",Minuwangoda Branch,,,"North York, Ontario, Canada"
Toronto  Canada  ,"Mumbai Area, India",Mumbai,,,"Toronto, Canada Area"
Toronto  Canada  ,,,"Ahmedabad Area, India",,"Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada","Toronto, Canada","Toronto, Canada","Toronto, Canada Area"
Toronto  Canada  ,Dubai,Dubai,"Dubai, UAE","Palakkad, Kerala","Toronto, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada",Multiple,,,"Toronto, Ontario, Canada"
Toronto  Canada  ,"Mississauga, Canada","Toronto, Canada Area",,,"Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area",Украина,,,"Toronto, Ontario, Canada"
Toronto  Canada  ,,,,,"Toronto, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Mississauga, Canada","Toronto, Canada Area","Mississauga, Canada","Toronto, Ontario, Canada"
Toronto  Canada  ,"Mumbai Area, India",Mumbai,Mumbai,,"Toronto, Canada Area"
Toronto  Canada  ,,,,,"Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Vaughan, ON","Markham, ON","Toronto, ON","Toronto, Canada Area"
Toronto  Canada  ,,"gurgaon,india",,,"Toronto, Canada Area"
Toronto  Canada  ,"Brampton, Ontario, Canada",,"Gurgaon, India","Hyderabad, India","Toronto, Canada Area"
Toronto  Canada  ,"Pune Area, India","Pune Area, India",,,"North York, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Mumbai Area, India",Andheri,,"North York, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area",Andheri west,"Toronto, Ontario, Canada"
Toronto  Canada  ,"Toronto, Ontario, Canada","Toronto, Canada Area","Toronto, Canada Area","Kolkata Area, India","Toronto, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","New Delhi Area, India","New Delhi Area, India","New Delhi Area, India","Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","New Delhi Area, India","Dubai, United Arab Emirates","Noida Area, India","Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area",Daniel's Spectrum,,"Toronto, Canada Area","Toronto, Ontario, Canada"
Toronto  Canada  ,"Chennai Area, India","Burlington, Canada","Toronto, Canada Area",Canada,"Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Ontario, Canada","Toronto, Ontario, Canada","Chennai Area, India","Chennai Area, India","Toronto, Canada Area"
Toronto  Canada  ,"Noida Area, India","Ludhiana Area, India",,,"Toronto, Canada Area"
Toronto  Canada  ,"Dubai, United Arab Emirates","Toronto, Canada Area","Thunder Bay, Ontario","Toronto, Canada Area","Toronto, Canada Area"
Toronto  Canada  ,,,,,"Etobicoke, Ontario, Canada"
Toronto  Canada  ,"New Delhi Area, India","New Delhi Area, India",,,"Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area",Hong Kong,"Toronto, Canada Area"
Toronto  Canada  ,,"Toronto, Canada Area","Toronto, Canada Area","Vancouver, BC","Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Ontario, Canada","Mumbai Area, India","Mumbai Area, India","Mumbai Area, India","Toronto, Canada Area"
Toronto  Canada  ,,"Vadodara Area, India",,,"Scarborough, Ontario, Canada"
Toronto  Canada  ,Toronto,"Bristol, United Kingdom","Gurgaon, India","New Delhi Area, India","Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area",Etobicoke,Missisauga ON,Etobicoke,"Toronto, Canada Area"
Toronto  Canada  ,,,,,"Toronto, Ontario, Canada"
Toronto  Canada  ,"North York, ON","São Paulo, Brazil","São Paulo, Brazil","Sao Bernardo do Campo, Brazil","Toronto, Canada Area"
Toronto  Canada  ,,,,,"Toronto, Canada Area"
Toronto  Canada  ,"Chennai Area, India",,,,"Scarborough, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada","Toronto, Canada Area","North York, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Ahmedabad Area, India",,,"Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area","Bhavnagar Area, India","Toronto, Canada Area"
Toronto  Canada  ,,"Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area","Toronto, Ontario, Canada"
Toronto  Canada  ,,Scarborough,"Toronto, Canada Area",,"Toronto, Canada Area"
Toronto  Canada  ,"Vancouver, Canada Area","Toronto, Canada Area","Baroda, India",,"Toronto, Canada Area"
Toronto  Canada  ,"Gujarat,India",,,,"Toronto, Canada Area"
Toronto  Canada  ,"Auckland, New Zealand",Lynfield Auckland,"Auckland, New Zealand",KARACHI PAKISTAN,"Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area","Windsor,ON,CA","Vadodara, India","Toronto, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area","Montreal, Canada Area","Toronto, Ontario, Canada"
Toronto  Canada  ,,,,,"Toronto, Canada Area"
Toronto  Canada  ,,"Mumbai Area, India",,,"North York, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area",Richmond Hill,,,"Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area","Mississauga, Ontario, Canada",India,"Toronto, Canada Area"
Toronto  Canada  ,"London, Canada Area","Noida Area, India",,,"North York, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Greater Noida, U.P ,India","Diesel Shed, Shakurbasti","Faridabad Area, India","Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area",,,"Toronto, Canada Area"
Toronto  Canada  ,,"Toronto, Canada Area",,,"Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Ontario, Canada","Hyderabad, Telangana, India","Calgary, Canada Area","Toronto, Canada","North York, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area",,"Pune Area, India",,"Toronto, Canada Area"
Toronto  Canada  ,"Bengaluru Area, India","Thiruvananthapuram, India","Cochin, Kerala",,"Scarborough, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Bengaluru Area, India",India,,"North York, Ontario, Canada"
Toronto  Canada  ,"Markham, Ontario",,,,"North York, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area",,"Toronto, Canada Area"
Toronto  Canada  ,"New Delhi Area, India","New Delhi Area, India",,,"Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area",Bahrain,"Bengaluru Area, India","Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area",,"Toronto, Canada Area",,"Toronto, Canada Area"
Toronto  Canada  ,"Rajkot Area, India","Rajkot Area, India","Rajkot Area, India","Surat Area, India","Toronto, Canada Area"
Toronto  Canada  ,Global,Bangor,"Toronto, Canada Area","Ontario, Canada","Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area",Toronto,,,"Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area",,"Toronto, Ontario, Canada"
Toronto  Canada  ,Waterloo,Waterloo,"Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area","Brampton & Toronto, ON","Toronto, on","Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Vennala, Cochin",,,"Toronto, Canada Area"
Toronto  Canada  ,"Alberta, Canada",India,India,,"Richmond Hill, Ontario, Canada"
Toronto  Canada  ,"Toronto, Ontario, Canada",Mississauga,"Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Brampton, Ontario","Brampton, Ontario","Toronto, Canada Area","Toronto, Canada Area"
Toronto  Canada  ,Newmarket,"Toronto, Canada Area","Toronto, Canada Area","Ottawa, Canada Area","Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Mississauga, Ontario","Broome, WA, Australia",Asia,"Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Ontario, Canada",,,"Mumbai Area, India","Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area",,"Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area"
Toronto  Canada  ,,,,,"Markham, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area","Beijing City, China","Beijing City, China","Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area",Niagara falls,"Houston, Texas Area",Gurgaon,"Toronto, Canada Area"
Toronto  Canada  ,"Bolton, Ontario","Toronto, Canada Area","Guelph, Ontario","Hamilton, Ontario","Ancaster, Ontario, Canada"
Toronto  Canada  ,"Peterborough, Ontario","Toronto, ON","Toronto, Canada Area","Toronto, Canada Area","Toronto, Ontario, Canada"
Toronto  Canada  ,,,,"Ontario, Canada","Toronto, Ontario, Canada"
Toronto  Canada  ,,,"Toronto, Canada Area",,"Toronto, Canada Area"
Toronto  Canada  ,,,,,"Toronto, Ontario, Canada"
Toronto  Canada  ,Toronto,,,,"Toronto, Canada Area"
Toronto  Canada  ,"Scarborough, ON","Scarborough, ON","Edmonton, AB","Richmond Hill, ON","Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Gurgaon, India","Gurgaon, India","Noida Area, India","Toronto, Ontario, Canada"
Toronto  Canada  ,"Quebec, Canada",,,,"Toronto, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada","Toronto, Canada","Toronto, Canada","Bangalore, India","Toronto, Ontario, Canada"
Toronto  Canada  ,Mississauga,"Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area","Etobicoke, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area",Burlington,"Edmonton, Canada Area","Edmonton, Canada Area",Canada
Toronto  Canada  ,"Edmonton, Canada Area","Edmonton, Canada Area",,,"Edmonton, Alberta, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada","Toronto, Canada","Toronto, Ontario, Canada"
Toronto  Canada  ,"Edmonton, Canada Area","Edmonton, Canada Area","Edmonton, Canada Area","Edmonton, Canada Area","Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area","Kista, Sweden","Calgary, AB","Toronto, Ontario, Canada"
Toronto  Canada  ,,"Edmonton, Canada Area","Edmonton, Canada Area","Tiruchchirappalli Area, India","Toronto, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area",Greater Boston Area,"Edmonton, Canada Area",San Francisco Bay Area,"Toronto, Ontario, Canada"
Toronto  Canada  ,"Seattle, USA","Toronto, Canada",,,Canada
Toronto  Canada  ,"Toronto, Canada Area","Edmonton, Canada Area","Edmonton, Alberta, Canada","Edmonton, Canada Area","North York, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area"
Toronto  Canada  ,"Edmonton, Canada Area","Edmonton, Canada Area","Edmonton, Canada Area",Bangalore,"Toronto, Canada Area"
Toronto  Canada  ,"Kirkland Lake, ON","Edmonton, Canada Area","Chennai Area, India","Chennai, India","Toronto, Ontario, Canada"
Toronto  Canada  ,"Victoria, BC","Ottawa, ON","Toronto, ON","Montreal, QC","Toronto, Ontario, Canada"
Toronto  Canada  ,Canada,"Dubai, UAE",United Arab Emirates,Abu Dhabi,"Edmonton, Alberta, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area","Chicago, Illinois","Racine, Wisconsin","Toronto, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area","toronto, canada area","Toronto, Canada Area","Toronto, Canada Area"
Toronto  Canada  ,"Edmonton, Canada Area","Edmonton, Canada","Chennai Area, India","Chennai Area, India","North York, Ontario, Canada"
Toronto  Canada  ,"Edmonton, Canada Area","Edmonton, Canada Area","Edmonton, Canada Area","Stevenage, United Kingdom","North York, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area",Brantford,,,"Brantford, Ontario, Canada"
Toronto  Canada  ,Hong Kong,Hong Kong,Hong Kong,Hong Kong,"Toronto, Canada Area"
Toronto  Canada  ,"Edmonton, Canada Area","Mumbai Area, India","Stevenage, United Kingdom",,"Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Edmonton, Canada Area","Edmonton, Canada Area","Pune Area, India","Toronto, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area","Calgary, Canada","Edmonton, Canada Area","Toronto, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Ontario","Toronto, Canada Area","Mississauga, Ontario","Toronto, Canada Area"
Toronto  Canada  ,,"Toronto, Canada Area","Toronto, Canada Area","Vancouver, Canada Area","Toronto, Ontario, Canada"
Toronto  Canada  ,"Markham, Ontario, Canada","Toronto, Canada Area","Edmonton, Canada Area","Edmonton, Canada Area","Toronto, Canada Area"
Toronto  Canada  ,"Edmonton, Canada Area","Edmonton, Canada Area","Bangalore, India","Bangalore, India","Toronto, Canada Area"
Toronto  Canada  ,Toronto,"Toronto, Canada Area",Toronto,,"Toronto, Canada Area"
Toronto  Canada  ,Lethbridge Alberta Canada,Tom Baker Cancer Centre,,"Toronto, Canada Area","Toronto, Ontario, Canada"
Toronto  Canada  ,"Tilburg Area, Netherlands",Heerlen,"Edmonton, Canada Area",Tilburg,"Toronto, Ontario, Canada"
Toronto  Canada  ,Toronto,"Dhaka, Bangladesh","Uttara, Dhaka, Bangladesh",,"Toronto, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Sao Paulo, Brazil",Toronto,"São Paulo, Brazil","Toronto, Canada Area"
Toronto  Canada  ,"Leamington, Ontario, Canada","Calgary, Canada Area","Edmonton, Canada Area","Newcastle, Australia",Canada
Toronto  Canada  ,"Ottawa, Canada Area","New Delhi Area, India",,,"New Delhi Area, India"
Toronto  Canada  ,,,,,"Toronto, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Montreal, Canada Area","Ottawa, Canada Area","Ottawa, Canada Area","Toronto, Ontario, Canada"
Toronto  Canada  ,"Waterloo, Canada","Toronto, Ontario, Canada","Toronto, Canada Area","Ottawa, Canada Area","Brampton, Ontario, Canada"
Toronto  Canada  ,,,,,"Toronto, Ontario, Canada"
Toronto  Canada  ,"Ottawa, Canada Area","Ottawa, Canada Area","Ottawa, Canada Area","RGN building, Ottawa hospital","Toronto, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Mumbai Area, India","Ranchi Area, India","Indore Area, India","Mississauga, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Oakville/Greater Toronto Area, Ontario","Beijing, People's Republic of China (PRC)","Toronto, Ontario","Toronto, Ontario, Canada"
Toronto  Canada  ,Toronto,,,,"Toronto, Ontario, Canada"
Toronto  Canada  ,"Kingston, Ontario","Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area"
Toronto  Canada  ,Pune,,,,Canada
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area",Toronto,"Toronto, Canada Area",Canada
Toronto  Canada  ,Mohali,"Panipat Area, India",,,Canada
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area","Chicago, US","Toronto, Canada Area",Canada
Toronto  Canada  ,"Pune Area, India","Mumbai Area, India",,,"Toronto, Canada Area"
Toronto  Canada  ,"Montreal, Canada Area","Gatineau, Québec","Montreal, Quebec, Canada","Paris, France","Toronto, Ontario, Canada"
Toronto  Canada  ,"Ottawa, Canada Area","Ottawa, Canada Area","Ottawa, Canada Area","Gurgaon, India",Canada
Toronto  Canada  ,"Ottawa, Canada Area","Pune Area, India",,,"Toronto, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Waterfront City, Dbayeh","2701 Riverside Drive, Ottawa ON K1A 0B1",Lebanon,"Toronto, Ontario, Canada"
Toronto  Canada  ,Ottawa,India,"Ottawa, Canada Area",,"Toronto, Ontario, Canada"
Toronto  Canada  ,"Noida, India","Gurgaon, India",,,"Ottawa, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Vallabh Vidyanagar, India","Anand, India",,Canada
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area",Canada
Toronto  Canada  ,"Toronto, Canada Area","Ajax, Toronto",India,"Montreal, Canada Area","Toronto, Canada Area"
Toronto  Canada  ,Canada,"Montreal, Canada Area","Montreal, Canada Area","Montreal, Canada Area","Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Ottawa, Canada Area","Toronto, Canada Area","Ontario, Canada","North York, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area",,,"Ottawa, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Ottawa, Canada Area","Ottawa, Canada Area","Ottawa, Canada Area","Yellowknife, Northwest Territories, Canada"
Toronto  Canada  ,,"Toronto, Canada Area","Lyon Area, France","Athens, Greece","Toronto, Canada Area"
Toronto  Canada  ,Toronto,"Toronto, Canada Area","Mississauga, ON",,"Markham, Ontario, Canada"
Toronto  Canada  ,Toronto,Toronto,Toronto,"Toronto, Canada Area","Toronto, Ontario, Canada"
Toronto  Canada  ,,Toronto,Toronto,"Vancouver, Canada Area","Toronto, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Chandigarh Area, India",India,,"North York, Ontario, Canada"
Toronto  Canada  ,America's Region,"Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area","Toronto, Ontario, Canada"
Toronto  Canada  ,"Ottawa, Canada Area","Toronto, Canada Area","Ottawa, Canada Area","Calicut Area, India","Toronto, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area","Pune Area, India, New York, USA",,"Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada area",New York City,"Gurgaon, India","Toronto, Ontario, Canada"
Toronto  Canada  ,"Kuala Lumpur, Malaysia","Toronto, Canada Area","Paris Area, France","Kollam, India","Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Chennai Area, India","Chennai Area, India","Neyveli,India","Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Chennai Area, India","Chennai Area, India",,"Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","London, Canada Area","Ottawa, Canada Area","Ottawa, Canada Area","Toronto, Ontario, Canada"
Toronto  Canada  ,"Ottawa, Canada Area","Ottawa, Canada Area","Bengaluru Area, India",,"Toronto, Canada Area"
Toronto  Canada  ,"Vadodara Area, India","Anand,India",,,"Brampton, Ontario, Canada"
Toronto  Canada  ,"Ottawa, Canada Area","Ottawa, Canada Area","Ottawa, Canada Area",Bangalore,"Toronto, Ontario, Canada"
Toronto  Canada  ,"Hyderabad Area, India","Telangana, India",,,Canada
Toronto  Canada  ,"Toronto, Canada Area","Ottawa, Canada Area","Ottawa, Canada Area","New Delhi Area, India","North York, Ontario, Canada"
Toronto  Canada  ,"Ottawa, ON / Montreal, QC","Montreal, Canada Area","Montreal, Canada Area",Ottawa,"Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area",,,"Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area",,,"Toronto, Canada Area"
Toronto  Canada  ,"Ottawa, Canada Area","Ottawa, Canada Area","Ottawa, Canada Area","Ottawa, Canada Area","Toronto, Canada Area"
Toronto  Canada  ,,,"New Delhi Area, India","Mohali,India","Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area","Chennai, Tamil Nadu, India",,"Toronto, Canada Area"
Toronto  Canada  ,"Ottawa, Canada Area","Ottawa, Canada Area","Ottawa, Canada Area","Ottawa, Canada Area","Toronto, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Hamilton, ON","Toronto, Canada Area","Burlington, ON","Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada","Chandigarh Area, India","Ottawa, Canada","Ottawa, Canada","Toronto, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area","Ottawa, Canada Area","Pune Area, India","Mississauga, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Ottawa, Canada Area","Ottawa, Canada Area",Hyderabad,"Toronto, Canada Area"
Toronto  Canada  ,"Kitchener, Canada Area","Toronto, Canada Area","Toronto, Canada Area","Chennai Area, India","Toronto, Canada Area"
Toronto  Canada  ,Canada,Lesotho,"Toronto, Canada","Toronto, Canada Area","Hamilton, Ontario, Canada"
Toronto  Canada  ,"Bengaluru Area, India","Bengaluru Area, India",,,"Toronto, Canada Area"
Toronto  Canada  ,"Ottawa, Canada Area","Ottawa, Canada Area","Mumbai Area, India","Mumbai Area, India","Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Milton, Ontario",,"Hyderabad Area, India","Toronto, Canada Area"
Toronto  Canada  ,"Ottawa, Canada Area","Bengaluru Area, India","Mangalore Area, India",,"Toronto, Canada Area"
Toronto  Canada  ,"Calgary, Canada Area","Calgary, Canada Area","Calgary, Canada Area","Calgary, Canada Area","Toronto, Ontario, Canada"
Toronto  Canada  ,Canada & International,Canada & International,"Herzogenaurach, Germany",Paris (and remotely),"Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area","Toronto, Ontario, Canada"
Toronto  Canada  ,"Ottawa, Canada Area","Noida Area, India","Gurgaon, India",,"Brampton, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Ajax, Canada Area",,,"Toronto, Canada Area"
Toronto  Canada  ,"Ottawa, Ontario, Canada","Bengaluru Area, India",,,Canada
Toronto  Canada  ,"Ottawa, Canada Area","Ottawa, Canada Area","Ottawa, Canada Area","Mississauga, Canada","Toronto, Canada Area"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area","Ottawa, Canada Area",Canada,"Toronto, Canada Area"
Toronto  Canada  ,Canada,"Ottawa, Canada Area",Qatar,,"Ottawa, Ontario, Canada"
Toronto  Canada  ,"Ottawa, Canada Area",300 Sparks St Ottawa,1500 Bank Street Ottawa,,"Ottawa, Canada Area"
Toronto  Canada  ,"Brampton, Ontario, Canada",,,,"Toronto, Canada Area"
Toronto  Canada  ,Ottawa,"Bengaluru, India",,,"Toronto, Canada Area"
Toronto  Canada  ,"Montreal, Canada Area","Montreal, Canada Area","Querétaro Area, Mexico",,"Toronto, Ontario, Canada"
Toronto  Canada  ,"NY, New York","Toronto, Canada Area","Toronto, Canada Area","Toronto, Canada Area",Canada
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area","Changsha, Hunan, China",,"Toronto, Ontario, Canada"
Toronto  Canada  ,"Pune Area, India","Chandigarh Area, India","Hyderabad Area, India","New Delhi Area, India","Toronto, Canada Area"
Toronto  Canada  ,,,,,"Gurgaon, India"
Toronto  Canada  ,San Francisco Bay Area,Greater New York City Area,"Toronto, Canada Area",San Francisco Bay Area,"Toronto, Canada Area"
Toronto  Canada  ,Global,"Toronto, Canada Area",Canada,"Toronto, Canada Area","Toronto, Ontario, Canada"
Toronto  Canada  ,,"Pune Area, India",Mississauga,Oakville,Canada
Toronto  Canada  ,"Toronto, Canada Area",Europe and South-East Asia,"Whistler, BC",Toronto,Canada
Toronto  Canada  ,"Toronto, Canada Area","Bengaluru Area, India","Toronto, Canada Area","Toronto, Canada","Toronto, Ontario, Canada"
Toronto  Canada  ,"Toronto, Canada Area","Toronto, Canada Area",Hamilton,"London, Canada Area","Toronto, Ontario, Canada"
Toronto  Canada  ,,"Gurgaon, India","Gurgaon, India","Chandigarh Area, India","Toronto, Ontario, Canada"
